Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.53823,27549.88942,24640.42124,24289.14152,25353.78754,,,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,119.8990188,192.153653,203.6508332,224.9148691,257.1756945,280.2456441,380.4009552,384.1316813,458.9557816,569.9407288,622.3796544,690.842629,653.3474881,633.9478643,594.3230812,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,901.0473674,1056.34834,479.7287223,430.9851557,320.9358903,386.3897521,560.6369791,554.1552356,454.2693518,421.3758462,606.2696254,574.1941611,775.7655185,850.0756941,1135.604564,1576.162801,2253.83885,3151.022431,4242.363062,3678.947654,3886.479354,4744.987629,5086.848426,5327.148892,5232.7623,4101.472152,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.811999,4247.839852,4412.345578,4568.568827,3945.217582,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,18877.81332,19531.50621,20542.13045,16507.80708,16227.04203,18459.9084,19037.58468,18404.55941,18969.64059,19324.45419,21432.97646,21897.85889,24174.27319,31744.2168,37233.8319,39991.32507,42419.40189,47255.95521,46734.26828,42704.01943,39641.74601,41627.463,39666.04304,42804.20264,,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2007.183603,1922.510888,2022.727738,1991.53723,1985.774166,2068.610468,2232.384891,2316.353126,2187.267476,2333.001743,2607.366002,2512.312804,2480.084677,2740.9373,3145.008611,3778.771845,4374.489209,4979.84611,6166.089949,5202.174647,5956.43553,6915.48192,7410.841436,7516.366301,7519.69,6537.301118,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,27989.3013,26945.65915,26864.18811,26141.33065,26495.82156,27973.74282,29813.37231,30378.54534,27681.31053,29278.76862,34207.53895,32105.64787,32355.4096,34294.894,37179.68189,40298.52422,42950.10058,42913.78403,45720.0179,32905.05385,34341.91129,39901.22092,41712.39795,42986.66461,44238.59977,40438.76293,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4318.774568,5715.504052,6798.027167,6940.351375,7449.480605,7373.427403,7683.573848,8172.665235,8248.76472,7736.372578,7669.273709,7170.689698,2579.188199,3330.42866,4251.565347,5076.88344,5878.781833,7193.675412,8953.476564,8161.460196,10276.51327,12727.29424,12970.1739,12977.13092,12245.68067,13467.41564,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3016309,779.8296261,924.4640098,1181.968445,1625.407769,2126.618661,3080.970959,3919.975474,2915.583906,3124.784018,3417.171836,3565.517575,3716.828923,3861.91557,3489.12769,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,8752.064568,8914.525433,8639.600418,8508.55084,8457.236393,8980.381321,9871.824096,12058.47828,10353.00884,10376.74452,11660.96293,11554.73581,11509.18209,11541.64716,
